name,nametype,recclass,mass (g),fall,year,reclat,reclong,country,continent
Chervony Kut,Valid,Eucrite-mmict,1700.0,Fell,1939,50.83333,34.0,Ukraine,Europe
Chetrinahatti,Valid,Stone-uncl,72.0,Fell,1880,14.5,76.5,India,Asia
Chiang Khan,Valid,H6,367.0,Fell,1981,17.9,101.63333,Laos,Asia
Chicora,Valid,LL6,303.0,Fell,1938,40.93333,-79.73333,United States of America,North America
Chisenga,Valid,"Iron, IIIAB",3920.0,Fell,1988,-10.05944,33.395,Malawi,Africa
Chitenay,Valid,L6,4000.0,Fell,1978,47.47083,0.97667,France,Europe
Cilimus,Valid,L5,1600.0,Fell,1979,-6.95,108.1,Indonesia,Asia
Claxton,Valid,L6,1455.0,Fell,1984,32.1025,-81.87278,United States of America,North America
Clohars,Valid,L4,48.6,Fell,1822,0.0,0.0,,
Colby (Wisconsin),Valid,L6,104000.0,Fell,1917,44.9,-90.28333,United States of America,North America
Cold Bokkeveld,Valid,CM2,5200.0,Fell,1838,-33.13333,19.38333,South Africa,Africa
Coleman,Valid,L6,469.0,Fell,1994,43.76111,-84.50778,United States of America,North America
Collescipoli,Valid,H5,5000.0,Fell,1890,42.53333,12.61667,Italy,Europe
Conquista,Valid,H4,20350.0,Fell,1965,-19.85,-47.55,Brazil,South America
Cosina,Valid,H5,1200.0,Fell,1844,21.16667,-100.86667,Mexico,North America
Cranganore,Valid,L6,1460.0,Fell,1917,10.2,76.26667,India,Asia
Crescent,Valid,CM2,78.4,Fell,1936,35.95,-97.58333,United States of America,North America
Cronstad,Valid,H5,3650.0,Fell,1877,-27.7,27.3,South Africa,Africa
Cross Roads,Valid,H5,167.0,Fell,1892,35.63333,-78.13333,United States of America,North America
Crumlin,Valid,L5,4255.0,Fell,1902,54.61667,-6.21667,United Kingdom,Europe
Cumberland Falls,Valid,Aubrite,17000.0,Fell,1919,36.83333,-84.35,United States of America,North America
Cynthiana,Valid,L/LL4,6000.0,Fell,1877,38.4,-84.25,United States of America,North America
Dahmani,Valid,LL6,18000.0,Fell,1981,35.61667,8.83333,Tunisia,Africa
Dandapur,Valid,L6,5650.0,Fell,1878,26.91667,83.96667,India,Asia
Daniel's Kuil,Valid,EL6,1064.0,Fell,1868,-28.2,24.56667,South Africa,Africa
Danville,Valid,L6,2000.0,Fell,1868,34.4,-87.06667,United States of America,North America
Darmstadt,Valid,H5,100.0,Fell,1804,49.86667,8.65,Germany,Europe
Dashoguz,Valid,H5,7000.0,Fell,1998,41.98444,59.685,Turkmenistan,Asia
Daule,Valid,L5,6580.0,Fell,2008,-1.87089,-79.95756,Ecuador,South America
De Cewsville,Valid,H6,340.0,Fell,1887,43.0,-80.0,Canada,North America
Deal,Valid,L6,28.0,Fell,1829,40.25,-74.0,,
Delhi,Valid,L5,0.8,Fell,1897,28.56667,77.25,India,Asia
Demina,Valid,L6,16400.0,Fell,1911,51.46667,84.76667,Russia,Europe
Denver,Valid,L6,230.0,Fell,1967,39.7825,-104.93056,United States of America,North America
Dergaon,Valid,H5,12500.0,Fell,2001,26.68333,93.86667,India,Asia
Desuri,Valid,H6,25400.0,Fell,1962,25.73333,73.61667,India,Asia
Devgaon,Valid,H3.8,12000.0,Fell,2001,19.0,81.0,India,Asia
Devri-Khera,Valid,L6,1140.0,Fell,1994,24.225,76.525,India,Asia
Dhajala,Valid,H3.8,45000.0,Fell,1976,22.37778,71.42722,India,Asia
Dharwar,Valid,OC,1800.0,Fell,1848,14.88333,75.6,India,Asia
Dhurmsala,Valid,LL6,32000.0,Fell,1860,32.23333,76.46667,India,Asia
Didim,Valid,H3-5,3396.0,Fell,2007,37.35172,27.32997,Turkey,Asia
Diep River,Valid,L6,1000.0,Fell,1906,-33.75,18.56667,South Africa,Africa
Distrito Quebracho,Valid,H4,400.0,Fell,1957,-31.88333,-60.46667,Argentina,South America
Djati-Pengilon,Valid,H6,166000.0,Fell,1884,-7.5,111.5,Indonesia,Asia
Djermaia,Valid,H,3950.0,Fell,1961,12.73333,15.05,Chad,Africa
Djoumine,Valid,H5-6,10000.0,Fell,1999,36.95,9.55,Tunisia,Africa
Dokachi,Valid,H5,3840.0,Fell,1903,23.5,90.33333,Bangladesh,Asia
Dolgovoli,Valid,L6,1600.0,Fell,1864,50.75,25.3,Ukraine,Europe
Domanitch,Valid,L5,438.0,Fell,1907,40.0,29.0,Turkey,Asia
Dong Ujimqin Qi,Valid,Mesosiderite,128800.0,Fell,1995,45.5,119.03333,China,Asia
Donga Kohrod,Valid,H6,230.0,Fell,1899,21.86667,82.45,India,Asia
Dongtai,Valid,LL6,5500.0,Fell,1970,32.91667,120.78333,China,Asia
Doroninsk,Valid,H5-7,3891.0,Fell,1805,51.2,112.3,Russia,Europe
Dosso,Valid,L6,1250.0,Fell,1962,13.05,3.16667,Niger,Africa
Douar Mghila,Valid,LL6,1161.0,Fell,1932,32.33333,-6.3,Morocco,Africa
Dowa,Valid,Stone-uncl,642.0,Fell,1976,-13.66667,33.91667,Malawi,Africa
Drake Creek,Valid,L6,5000.0,Fell,1827,36.4,-86.5,United States of America,North America
Dresden (Ontario),Valid,H6,47700.0,Fell,1939,42.52,-82.26,Canada,North America
Dubrovnik,Valid,L3-6,1900.0,Fell,1951,42.45833,18.44167,,
Dunbogan,Valid,L6,30.0,Fell,1999,-31.66667,152.83333,Australia,Oceania
Dundrum,Valid,H5,2270.0,Fell,1865,52.55,-8.03333,Ireland,Europe
Durala,Valid,L6,13200.0,Fell,1815,30.3,76.63333,India,Asia
Duruma,Valid,L6,577.0,Fell,1853,-4.0,39.5,Kenya,Africa
Duwun,Valid,L6,2117.0,Fell,1943,33.43333,127.26667,,
Dwaleni,Valid,H4-6,3230.0,Fell,1970,-27.2,31.31667,eSwatini,Africa
Dyalpur,Valid,Ureilite,300.0,Fell,1872,26.25,82.0,India,Asia
Dyarrl Island,Valid,Mesosiderite-A1,188.0,Fell,1933,-3.0,151.0,,
Eagle,Valid,EL6,10000.0,Fell,1947,40.78167,-96.47167,United States of America,North America
Ehole,Valid,H5,2400.0,Fell,1961,-17.3,15.83333,Angola,Africa
Eichstädt,Valid,H5,3000.0,Fell,1785,48.9,11.21667,Germany,Europe
Ekeby,Valid,H4,3336.0,Fell,1939,56.03333,13.0,Sweden,Europe
Ekh Khera,Valid,H6,840.0,Fell,1916,28.26667,78.78333,India,Asia
El Idrissia,Valid,L6,10000.0,Fell,1989,34.41667,3.25,Algeria,Africa
El Paso de Aguila,Valid,H5,17226.0,Fell,1977,25.37,-97.37,Mexico,North America
El Tigre,Valid,L6,5000.0,Fell,1993,19.96722,-103.05167,Mexico,North America
Elbert,Valid,LL6,680.5,Fell,1998,39.24667,-104.58817,United States of America,North America
Elbogen,Valid,"Iron, IID",107000.0,Fell,1399,50.18333,12.73333,Czechia,Europe
Elenovka,Valid,L5,54640.0,Fell,1951,47.83333,37.66667,Ukraine,Europe
Ellemeet,Valid,Diogenite,1470.0,Fell,1925,51.75,4.0,Netherlands,Europe
Emmaville,Valid,Eucrite-mmict,127.0,Fell,1900,-29.46667,151.61667,Australia,Oceania
Enshi,Valid,H5,8000.0,Fell,1974,30.3,109.5,China,Asia
Ensisheim,Valid,LL6,127000.0,Fell,1491,47.86667,7.35,France,Europe
Épinal,Valid,H5,277.0,Fell,1822,48.18333,6.46667,France,Europe
Erakot,Valid,CM2,113.0,Fell,1940,19.03333,81.89167,India,Asia
Erevan,Valid,Howardite,107.2,Fell,1911,40.3,44.5,Armenia,Asia
Ergheo,Valid,L5,20000.0,Fell,1889,1.16667,44.16667,Somalia,Africa
Erxleben,Valid,H6,2250.0,Fell,1812,52.21667,11.25,Germany,Europe
Esnandes,Valid,L6,1500.0,Fell,1837,46.25,-1.1,France,Europe
Essebi,Valid,C2-ung,500.0,Fell,1957,2.88333,30.83333,Uganda,Africa
Estherville,Valid,Mesosiderite-A3/4,320000.0,Fell,1879,43.41667,-94.83333,United States of America,North America
Farmington,Valid,L5,89400.0,Fell,1890,39.75,-97.03333,United States of America,North America
Farmville,Valid,H4,56000.0,Fell,1934,35.55,-77.53333,United States of America,North America
Favars,Valid,H5,1500.0,Fell,1844,44.38333,2.81667,France,Europe
Fayetteville,Valid,H4,2360.0,Fell,1934,36.05,-94.16667,United States of America,North America
Feid Chair,Valid,H4,380.0,Fell,1875,36.88333,8.45,Tunisia,Africa
Felix,Valid,CO3.3,3200.0,Fell,1900,32.53333,-87.16667,United States of America,North America
Fenghsien-Ku,Valid,H5,82.0,Fell,1924,34.6,116.75,China,Asia
Ferguson,Valid,OC,220.0,Fell,1889,36.1,-81.41667,United States of America,North America
Fermo,Valid,H3-5,10200.0,Fell,1996,43.18111,13.75333,Italy,Europe
Fisher,Valid,L6,17600.0,Fell,1894,47.81667,-96.85,United States of America,North America
Florence,Valid,H3,3640.0,Fell,1922,30.83333,-97.76667,United States of America,North America
Forest City,Valid,H5,152000.0,Fell,1890,43.25,-93.66667,United States of America,North America
Forest Vale,Valid,H4,26000.0,Fell,1942,-33.35,146.85833,Australia,Oceania
Forksville,Valid,L6,6067.0,Fell,1924,36.78333,-78.08333,United States of America,North America
Forsbach,Valid,H6,240.0,Fell,1900,50.95,7.31667,Germany,Europe
Forsyth,Valid,L6,16300.0,Fell,1829,33.01667,-83.96667,United States of America,North America
Frankfort (stone),Valid,Howardite,650.0,Fell,1868,34.48333,-87.83333,United States of America,North America
Fuhe,Valid,L5,23000.0,Fell,1945,31.47556,113.56694,China,Asia
Fukutomi,Valid,L5,11620.0,Fell,1882,33.18333,130.2,Japan,Asia
Futtehpur,Valid,L6,4000.0,Fell,1822,25.95,80.81667,India,Asia
Fuyang,Valid,Stone-uncl,2500.0,Fell,1977,32.9,115.9,China,Asia
Galapian,Valid,H6,132.7,Fell,1826,44.3,0.4,France,Europe
Galim (a),Valid,LL6,36.1,Fell,1952,7.05,12.43333,Cameroon,Africa
Galim (b),Valid,EH3/4-an,28.0,Fell,1952,7.05,12.43333,Cameroon,Africa
Galkiv,Valid,H4,5000.0,Fell,1995,51.68333,30.78333,Ukraine,Europe
Gambat,Valid,L6,6400.0,Fell,1897,27.35,68.53333,Pakistan,Asia
Garhi Yasin,Valid,"Iron, IIE",380.0,Fell,1917,27.88333,68.53333,Pakistan,Asia
Garland,Valid,Diogenite-pm,102.0,Fell,1950,41.68333,-112.13333,United States of America,North America
Gashua,Valid,L6,4162.0,Fell,1984,12.85,11.03333,Nigeria,Africa
Geidam,Valid,H5,725.0,Fell,1950,12.91667,11.91667,Nigeria,Africa
